Stufe;Versorger;Tarif;Tarif-ID;Sparte;Typ;Verbrauch von;Verbrauch bis;gültig von;gültig bis;Provision in Euro;Provision in Euro je kWh;Folgeprovision in Euro;Folgeprovision in Euro je kWh;Sonderprovision
Stufe 21;DEW21;Erdgas Direkt;18028;Gas;Privatkunde;8000;50000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;DEW21;Erdgas Direkt;18028;Gas;Privatkunde;0;0;2025-07-01;2026-03-31;;;;;75.00 on Top 
Stufe 21;DEW21;Erdgas Lokal;17341;Gas;Privatkunde;8000;50000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;DEW21;Strom Direkt;18029;Strom;Privatkunde;1500;30000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;DEW21;Strom Direkt;18029;Strom;Privatkunde;0;0;2025-07-01;2026-03-31;;;;;50.00 on Top 
Stufe 21;DEW21;Strom Direkt;18030;Strom;Privatkunde;1500;30000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;DEW21;Strom Direkt;18030;Strom;Privatkunde;0;0;2025-07-01;2026-03-31;;;;;75.00 on Top 
Stufe 21;DEW21;Strom Lokal;17339;Strom;Privatkunde;1500;30000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24;9385;Strom;Privatkunde;500;30000;2025-02-19;2999-08-31;104.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gas;9387;Gas;Privatkunde;1000;100000;2025-02-19;2999-08-31;104.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gas Gewerbe;9388;Gas;Gewerbekunde;1000;100000;2025-02-19;2999-08-31;104.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gas Gewerbe S;14416;Gas;Gewerbekunde;1000;100000;2025-02-19;2999-08-31;129.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gas S;14415;Gas;Privatkunde;1000;100000;2025-02-19;2999-08-31;129.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gewerbe;9386;Strom;Gewerbekunde;500;30000;2025-02-19;2999-08-31;104.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 Gewerbe S;14417;Strom;Gewerbekunde;500;30000;2025-02-19;2999-08-31;129.00;;;;
Stufe 21;E WIE EINFACH;EinPreisTarif 24 S;12382;Strom;Privatkunde;500;30000;2025-02-19;2999-08-31;129.00;;;;
Stufe 21;E.ON;E.ON Direkt Erdgas 24;18611;Gas;Privatkunde;1;1999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON Direkt Erdgas 24;18611;Gas;Privatkunde;2000;300000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON Erdgas Basis 24;19357;Gas;Privatkunde;1;1999;2025-11-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON Erdgas Basis 24;19357;Gas;Privatkunde;2000;300000;2025-11-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON Ökostrom Basis 24;19356;Strom;Privatkunde;1;999;2025-11-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON Ökostrom Basis 24;19356;Strom;Privatkunde;1000;100000;2025-11-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Heizen Fix DT;17317;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Heizen Fix DT;17317;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Nachtspeicher Fix DT;17318;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Nachtspeicher Fix DT;17318;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Nachtspeicher Fix ET;17319;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Nachtspeicher Fix ET;17319;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Wärmepumpe Fix DT 24;17320;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Wärmepumpe Fix DT 24;17320;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Wärmepumpe Fix ET 24;17321;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON ÖkoStrom Wärmepumpe Fix ET 24;17321;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON Strom 24;18610;Strom;Privatkunde;1;999;2025-09-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON Strom 24;18610;Strom;Privatkunde;1000;100000;2025-09-01;2999-02-28;153.00;;;;
Stufe 21;E.ON;E.ON Strom Extra;18523;Strom;Privatkunde;1;999;2026-03-01;2999-02-28;48.00;;;;
Stufe 21;E.ON;E.ON Strom Extra;18523;Strom;Privatkunde;1000;100000;2026-03-01;2999-02-28;133.00;;;;
Stufe 21;E.ON;E.ON UnternehmerGas Fix 24;15953;Gas;Gewerbekunde;1;4999;2025-03-06;2999-11-30;113.00;;;;
Stufe 21;E.ON;E.ON UnternehmerGas Fix 24;15953;Gas;Gewerbekunde;5000;19999;2025-03-06;2999-11-30;233.00;;;;
Stufe 21;E.ON;E.ON UnternehmerGas Fix 24;15953;Gas;Gewerbekunde;20000;39999;2025-03-06;2999-11-30;323.00;;;;
Stufe 21;E.ON;E.ON UnternehmerGas Fix 24;15953;Gas;Gewerbekunde;40000;300000;2025-03-06;2999-10-31;413.00;;;;
Stufe 21;E.ON;E.ON UnternehmerStrom eFix 36 ET;15951;Strom;Gewerbekunde;1;999;2025-03-06;2999-11-30;113.00;;;;
Stufe 21;E.ON;E.ON UnternehmerStrom eFix 36 ET;15951;Strom;Gewerbekunde;1000;4999;2025-03-06;2999-02-28;183.00;;;;
Stufe 21;E.ON;E.ON UnternehmerStrom eFix 36 ET;15951;Strom;Gewerbekunde;5000;9999;2025-03-06;2999-11-30;233.00;;;;
Stufe 21;E.ON;E.ON UnternehmerStrom eFix 36 ET;15951;Strom;Gewerbekunde;10000;100000;2025-03-06;2999-11-30;323.00;;;;
Stufe 21;E.ON Energie Österreich GmbH;E.ON Erdgas Fix;14235;Gas;Privatkunde;1;1500000;2025-09-01;2999-10-31;55.00;;;;
Stufe 21;E.ON Energie Österreich GmbH;E.ON Erdgas Fix Gewerbe;14236;Gas;Gewerbekunde;1;1500000;2025-09-01;2999-10-31;55.00;;;;
Stufe 21;E.ON Energie Österreich GmbH;E.ON ÖkoStrom Fix;14237;Strom;Privatkunde;1;100000;2025-09-01;2999-10-31;55.00;;;;
Stufe 21;E.ON Energie Österreich GmbH;E.ON ÖkoStrom Fix Gewerbe;14238;Strom;Gewerbekunde;1;100000;2025-09-01;2999-10-31;55.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Gas  (12M);17684;Gas;Privatkunde;10000;2000000;2025-03-29;2999-11-30;165.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Gas  (12M) Gewerbe;17685;Gas;Gewerbekunde;10000;2000000;2025-03-29;2999-11-30;165.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Gas  (24M);17686;Gas;Privatkunde;10000;2000000;2025-03-29;2999-11-30;290.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Gas  (24M) Gewerbe;17687;Gas;Gewerbekunde;10000;2000000;2025-03-29;2999-11-30;290.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Öko-Strom 12 Gewerbe ET;17689;Strom;Gewerbekunde;10000;150000;2025-03-29;2999-11-30;129.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Öko-Strom 12 Privat ET;17688;Strom;Privatkunde;3000;150000;2025-03-29;2999-11-30;104.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Öko-Strom 24 Gewerbe ET;17693;Strom;Gewerbekunde;10000;150000;2025-03-29;2999-11-30;290.00;;;;
Stufe 21;E.VITA;E.VITA - CPO Öko-Strom 24 Privat ET;17692;Strom;Privatkunde;3000;150000;2025-03-29;2999-11-30;148.00;;;;
Stufe 21;EAM;EAM Gewerbestrom;12856;Strom;Gewerbekunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;EAM Gewerbestrom Plus;12857;Strom;Gewerbekunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM AutoStrom;12891;Strom;Privatkunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM Erdgas;12853;Gas;Privatkunde;1;100000;2024-08-01;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM Heizstrom;12851;Strom;Privatkunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM Heizstrom;12852;Strom;Privatkunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM Strom;12849;Strom;Privatkunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EAM;Mein EAM Strom Plus;12850;Strom;Privatkunde;1;100000;2024-07-09;2999-07-31;100.00;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;0.01050000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;;;0.01050000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;50001;60000;2023-02-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;0.00730000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;;;0.00730000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;0.00590000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;;;0.00590000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;0.00465000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;;;0.00465000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;0.00370000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;;;0.00370000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;0.00289000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;;;0.00289000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas RLM 12;10874;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;0.01050000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;20000;40000;2025-04-01;2999-09-30;;;;0.01050000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;40001;50000;2025-04-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;0.00730000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;;;0.00730000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;0.00590000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;;;0.00590000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;0.00465000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;;;0.00465000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;0.00370000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;;;0.00370000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;0.00289000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Gas SLP 12;9875;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;;;0.00289000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;20000;60000;2023-02-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;0.00730000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;;;0.00730000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;0.00590000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;;;0.00590000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;0.00465000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;;;0.00465000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;0.00370000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;;;0.00370000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;0.00289000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;;;0.00289000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas RLM;18689;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;20000;60000;2023-02-01;2999-09-30;;0.00750000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;0.00730000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;60001;100000;2023-02-01;2999-09-30;;;;0.00730000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;0.00590000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;100001;300000;2023-02-01;2999-09-30;;;;0.00590000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;0.00465000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;300001;500000;2023-02-01;2999-09-30;;;;0.00465000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;0.00370000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;500001;1000000;2023-02-01;2999-09-30;;;;0.00370000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;0.00289000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;1000001;10000000;2023-02-01;2999-09-30;;;;0.00289000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Gas SLP;18690;Gas;Gewerbekunde;50000;60000;2023-02-01;2999-09-30;;;;0.00750000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;20000;60000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;500001;1000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;1000001;10000000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom RLM;18687;Strom;Gewerbekunde;50001;60000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;20000;60000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;60001;100000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;0.01300000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;100001;300000;2024-03-01;2999-09-30;;;;0.01300000 ab dem 13. Belieferungsmonat jährlich;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;0.00900000;;;
Stufe 21;EGT Energievertrieb GmbH;EGT Spot Plus Strom SLP;18688;Strom;Gewerbekunde;300001;500000;2024-03-01;2999-09-30;;;;0.00900000 ab dem 13. Belieferungsmonat jährlich;
